1	4	1
1	6	2
1	9	2
1	13	2
1	14	1
1	15	3
1	17	2
1	20	1
1	24	1
1	25	1
2	3	1
2	4	2
2	5	1
2	6	1
2	7	2
2	9	2
2	10	1
2	11	4
2	12	1
2	13	1
2	14	3
2	16	1
2	17	1
2	21	1
2	22	2
2	23	3
2	25	1
3	4	1
3	5	1
3	7	4
3	8	2
3	10	2
3	11	1
3	12	7
3	13	2
3	14	2
3	15	1
3	18	1
3	20	1
3	21	2
3	22	1
3	23	2
3	24	2
3	25	2
3	26	4
4	7	1
4	9	2
4	11	2
4	12	1
4	13	1
4	14	1
4	15	1
4	16	1
4	17	1
4	20	1
4	21	1
4	23	1
4	24	1
4	25	1
4	26	1
5	6	1
5	7	2
5	9	1
5	10	1
5	11	1
5	12	1
5	14	1
5	16	1
5	19	2
5	22	2
5	23	1
5	24	1
5	25	1
5	26	2
6	9	5
6	10	1
6	11	1
6	13	1
6	14	1
6	15	1
6	17	5
6	18	1
6	19	1
6	21	1
6	22	4
6	23	1
6	24	1
6	25	1
6	26	2
7	8	1
7	9	1
7	10	2
7	11	2
7	12	4
7	13	2
7	14	1
7	15	1
7	16	1
7	19	1
7	20	1
7	21	2
7	22	1
7	23	1
7	24	3
7	25	4
7	26	2
8	9	2
8	10	2
8	11	1
8	12	2
8	13	1
8	15	3
8	18	1
8	19	1
8	20	1
8	21	2
8	22	1
8	23	1
8	24	2
8	25	1
8	26	1
9	10	2
9	11	3
9	13	3
9	14	3
9	15	3
9	16	1
9	17	4
9	18	3
9	19	3
9	20	4
9	21	2
9	22	3
9	23	1
9	24	2
9	25	1
9	26	1
10	11	2
10	12	2
10	14	1
10	15	2
10	17	1
10	18	2
10	20	1
10	22	3
10	23	2
10	25	1
10	26	1
11	12	1
11	13	1
11	14	3
11	15	1
11	16	1
11	17	1
11	20	1
11	21	1
11	22	2
11	23	3
11	25	1
12	13	2
12	14	2
12	15	1
12	18	1
12	20	1
12	21	2
12	22	1
12	23	2
12	24	2
12	25	2
12	26	4
13	14	1
13	15	2
13	18	1
13	20	1
13	21	3
13	24	1
13	25	2
13	26	2
14	15	2
14	16	2
14	17	1
14	18	2
14	19	1
14	20	2
14	22	2
14	23	4
14	26	1
15	16	1
15	17	2
15	18	1
15	19	1
15	20	4
15	21	1
15	22	1
15	23	1
15	24	2
15	25	2
15	26	1
16	18	1
16	19	3
16	20	1
16	23	1
16	24	1
16	25	1
16	26	1
17	18	1
17	20	1
17	22	3
17	23	1
17	24	2
17	25	1
17	26	1
18	19	1
18	20	1
18	22	2
18	23	2
18	26	2
19	20	1
19	21	1
19	22	1
19	24	1
19	25	1
19	26	1
20	21	1
20	24	2
20	25	1
20	26	1
21	24	1
21	25	2
21	26	3
22	23	3
22	26	1
23	26	1
24	25	3
24	26	2
25	26	2
